[3/27/26, 5:03:08:048 UTC] 0000cc99 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [adobe-livecycle-websphere] [/soap] [AxisServlet]: Initialization successful.
[3/27/26, 5:04:04:499 UTC] 0000cc99 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: An FFDC Incident has been created: "sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target com.ibm.ws.ssl.core.WSX509TrustManager checkServerTrusted" at ffdc_26.03.27_05.04.04.0.log
[3/27/26, 5:04:04:503 UTC] 0000cc99 com.ibm.ws.ssl.core.WSX509TrustManager                       E CWPKI0823E: SSL HANDSHAKE FAILURE:  A signer with SubjectDN [CN=or1010050154101.corp.adobe.com, O=Adobe Inc., L=San Jose, ST=California, C=US] was sent from the host [authrelay.corp.adobe.com:587].  The signer might need to be added to local trust store [C:/wlp/usr/servers/jeeserver/resources/security/key.p12], located in SSL configuration alias [defaultSSLConfig].  The extended error message from the SSL handshake exception is: [PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target].
[3/27/26, 5:04:04:506 UTC] 0000cc99 SystemErr                                                    R jakarta.mail.MessagingException: Could not convert socket to TLS;
  nested exception is:
	javax.net.ssl.SSLHandshakeException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
[3/27/26, 5:04:04:508 UTC] 0000cc99 SystemErr                                                    R 	at com.sun.mail.smtp.SMTPTransport.startTLS(SMTPTransport.java:2140)
[3/27/26, 5:04:04:509 UTC] 0000cc99 SystemErr                                                    R 	at com.sun.mail.smtp.SMTPTransport.protocolConnect(SMTPTransport.java:734)
[3/27/26, 5:04:04:509 UTC] 0000cc99 SystemErr                                                    R 	at jakarta.mail.Service.connect(Service.java:342)
[3/27/26, 5:04:04:510 UTC] 0000cc99 SystemErr                                                    R 	at jakarta.mail.Service.connect(Service.java:222)
[3/27/26, 5:04:04:510 UTC] 0000cc99 SystemErr                                                    R 	at jakarta.mail.Service.connect(Service.java:171)
[3/27/26, 5:04:04:511 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.email.EmailServiceImpl.sendMessage(EmailServiceImpl.java:532)
[3/27/26, 5:04:04:511 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.email.EmailServiceImpl.sendWithMapOfAttachments(EmailServiceImpl.java:494)
[3/27/26, 5:04:04:512 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.email.EmailServiceImpl.sendWithDocument(EmailServiceImpl.java:392)
[3/27/26, 5:04:04:512 UTC] 0000cc99 SystemErr                                                    R 	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
[3/27/26, 5:04:04:513 UTC] 0000cc99 SystemErr                                                    R 	at java.base/java.lang.reflect.Method.invoke(Method.java:580)
[3/27/26, 5:04:04:513 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.component.impl.DefaultPOJOInvokerImpl.invoke(DefaultPOJOInvokerImpl.java:118)
[3/27/26, 5:04:04:514 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.interceptor.impl.InvocationInterceptor.intercept(InvocationInterceptor.java:140)
[3/27/26, 5:04:04:514 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.interceptor.impl.RequestInterceptorChainImpl.proceed(RequestInterceptorChainImpl.java:60)
[3/27/26, 5:04:04:515 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.interceptor.impl.DocumentPassivationInterceptor.intercept(DocumentPassivationInterceptor.java:53)
[3/27/26, 5:04:04:515 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.interceptor.impl.RequestInterceptorChainImpl.proceed(RequestInterceptorChainImpl.java:60)
[3/27/26, 5:04:04:515 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.transaction.interceptor.TransactionInterceptor$1.doInTransaction(TransactionInterceptor.java:124)
[3/27/26, 5:04:04:516 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.transaction.impl.ejb.adapter.EjbTransactionCMTAdapterBean.execute(EjbTransactionCMTAdapterBean.java:357)
[3/27/26, 5:04:04:516 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.transaction.impl.ejb.adapter.EjbTransactionCMTAdapterBean.doSupports(EjbTransactionCMTAdapterBean.java:227)
[3/27/26, 5:04:04:516 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.transaction.impl.ejb.adapter.EJSLocalStatelessEjbTransactionCMTAdapter_caf58c4f.doSupports(EJSLocalStatelessEjbTransactionCMTAdapter_caf58c4f.java)
[3/27/26, 5:04:04:517 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.transaction.impl.ejb.EjbTransactionProvider.execute(EjbTransactionProvider.java:104)
[3/27/26, 5:04:04:517 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.transaction.interceptor.TransactionInterceptor.intercept(TransactionInterceptor.java:122)
[3/27/26, 5:04:04:517 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.interceptor.impl.RequestInterceptorChainImpl.proceed(RequestInterceptorChainImpl.java:60)
[3/27/26, 5:04:04:518 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.interceptor.impl.InvocationStrategyInterceptor.intercept(InvocationStrategyInterceptor.java:55)
[3/27/26, 5:04:04:518 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.interceptor.impl.RequestInterceptorChainImpl.proceed(RequestInterceptorChainImpl.java:60)
[3/27/26, 5:04:04:518 UTC] 0000cc99 SystemErr                                                    R 	at com.adobe.idp.dsc.interceptor.impl.InvalidStateInterceptor.intercept(InvalidStateInterceptor.java:37)
